method,coverage,width,worst_slice,runtime_s,dataset,seed,width_norm,cred_lo,cred_hi,p_meets
ACBUQ (ours),0.972972972972973,224.2642049052439,0.9090909090909092,0.833296670999971,diabetes,0,0.6986423828823798,0.930974964062004,0.9847248257014496,0.9973641189801786
CQR,0.954954954954955,199.33681377585785,0.875,0.8632571199999575,diabetes,0,0.6209869588032955,,,
Split-Conformal,0.945945945945946,204.094975568768,0.8421052631578947,0.3990282570000545,diabetes,0,0.635809892737595,,,
Deep-Ensemble,0.2882882882882883,47.56022802194446,0.1304347826086956,1.9282823870000807,diabetes,0,0.148162704118207,,,
MLP-Gaussian,0.927927927927928,192.24014150622676,0.8181818181818182,0.3805833549999988,diabetes,0,0.598878945502264,,,
Gaussian-Process,0.918918918918919,177.8360290146781,0.8148148148148148,0.0895899079999935,diabetes,0,0.5540063209180003,,,
Bayesian-Ridge,0.90990990990991,179.01265038537056,0.7916666666666666,0.001790010000036,diabetes,0,0.5576718080541139,,,
ACBUQ (ours),0.954954954954955,205.9659035558583,0.8636363636363636,0.88146532199994,diabetes,1,0.6416383288344495,0.910942134052968,0.9744586879198656,0.9792711847971814
CQR,0.9369369369369368,192.29253855326093,0.8181818181818182,0.853248424999947,diabetes,1,0.599042176178383,,,
Split-Conformal,0.918918918918919,196.1668569382534,0.8181818181818182,0.4003620339999543,diabetes,1,0.6111117038574873,,,
Deep-Ensemble,0.2252252252252252,20.218516054842954,0.0526315789473684,2.472112914000036,diabetes,1,0.0629860313234983,,,
MLP-Gaussian,0.8828828828828829,184.48809620840817,0.7368421052631579,0.4178508100000044,diabetes,1,0.574729271677284,,,
Gaussian-Process,0.90990990990991,180.44861678990017,0.7894736842105263,0.0945850439999276,diabetes,1,0.5621452236445488,,,
Bayesian-Ridge,0.918918918918919,180.09720261611454,0.8181818181818182,0.0017485479999095,diabetes,1,0.5610504754396092,,,
ACBUQ (ours),0.972972972972973,227.4148169121258,0.875,0.8412281180000036,diabetes,2,0.7084573735580243,0.930974964062004,0.9847248257014496,0.9973641189801786
CQR,0.954954954954955,206.3243312806769,0.8695652173913043,0.8248112490000494,diabetes,2,0.6427549261080276,,,
Split-Conformal,0.918918918918919,196.0495488638004,0.8,0.4409526319999486,diabetes,2,0.6107462581426804,,,
Deep-Ensemble,0.1171171171171171,21.329633424807053,0.0,2.447542504000012,diabetes,2,0.0664474561520468,,,
MLP-Gaussian,0.8738738738738738,181.280454684564,0.75,0.4326760259999673,diabetes,2,0.5647366189550279,,,
Gaussian-Process,0.8288288288288288,177.61239173958975,0.6521739130434783,0.0882848200000125,diabetes,2,0.553309631587507,,,
Bayesian-Ridge,0.8288288288288288,177.94459288087214,0.6666666666666666,0.0017536020000079,diabetes,2,0.5543445261086359,,,
ACBUQ (ours),0.963963963963964,217.95649321018533,0.8571428571428571,0.8366987339999241,diabetes,3,0.6789921906859356,0.9208356661019156,0.9797118720036504,0.9919059153719
CQR,0.8918918918918919,194.5816168688505,0.6956521739130435,0.8914515079999319,diabetes,3,0.6061732612736775,,,
Split-Conformal,0.90990990990991,203.45246398628825,0.7619047619047619,0.5414725599999883,diabetes,3,0.6338082990227049,,,
Deep-Ensemble,0.5045045045045045,72.8738312229681,0.3043478260869565,1.466976575999979,diabetes,3,0.2270212810684364,,,
MLP-Gaussian,0.8828828828828829,183.37056364528027,0.7083333333333334,0.503522311000097,diabetes,3,0.571247861823303,,,
Gaussian-Process,0.8828828828828829,177.25897438771105,0.7142857142857143,0.0912630000000263,diabetes,3,0.5522086429523708,,,
Bayesian-Ridge,0.8828828828828829,177.22648332540984,0.7083333333333334,0.0017413749999377,diabetes,3,0.5521074246897503,,,
ACBUQ (ours),0.8738738738738738,183.25184230439052,0.7391304347826086,0.8307619610000074,diabetes,4,0.5708780134093163,0.8278992840528038,0.9212547991320504,0.2267947187525189
CQR,0.8558558558558559,174.50404873710983,0.7391304347826086,0.8516381910000064,diabetes,4,0.5436263200533017,,,
Split-Conformal,0.9369369369369368,203.88638642915808,0.8095238095238095,0.4520079529999066,diabetes,4,0.6351600823338258,,,
Deep-Ensemble,0.1621621621621621,21.97212238595829,0.0,2.5760272469999563,diabetes,4,0.0684489793955086,,,
MLP-Gaussian,0.9009009009009008,186.80235937866837,0.7619047619047619,0.4732060400000364,diabetes,4,0.5819388142637643,,,
Gaussian-Process,0.918918918918919,184.44337505733665,0.8095238095238095,0.0916309279999723,diabetes,4,0.5745899534496469,,,
Bayesian-Ridge,0.927927927927928,184.4007637733074,0.8181818181818182,0.0017354179999529,diabetes,4,0.574457208016534,,,
ACBUQ (ours),0.954954954954955,238.5260878312648,0.8260869565217391,0.8654446389999748,diabetes,5,0.7430719247079901,0.910942134052968,0.9744586879198656,0.9792711847971814
CQR,0.9369369369369368,224.78654514820963,0.782608695652174,0.8608555109999543,diabetes,5,0.7002696110536125,,,
Split-Conformal,0.918918918918919,220.63880187543108,0.8181818181818182,0.2918889970000009,diabetes,5,0.6873482924468258,,,
Deep-Ensemble,0.4234234234234234,58.95841641547938,0.2608695652173913,1.708353668999962,diabetes,5,0.1836710791759482,,,
MLP-Gaussian,0.90990990990991,200.9906852412228,0.8181818181818182,0.3289360040000701,diabetes,5,0.6261392063589496,,,
